,Station,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Top Venues,Label
0,Allawah,-33.9697,151.1145,3,Thai Restaurant,Cafe,Chinese Restaurant,Coffee Shop,Food Truck,BBQ Joint,Italian Restaurant,Bakery,Yemeni Restaurant,Eastern European Restaurant,"3 Cafe, 3 Thai Restaurant, 2 Chinese Restaurant",Cafe/Coffee/Thai Restaurant Venues
1,Arncliffe,-33.9362,151.1473,3,Cafe,Pizza Place,Bakery,Burger Joint,Asian Restaurant,Australian Restaurant,BBQ Joint,Thai Restaurant,Chinese Restaurant,Lebanese Restaurant,"9 Cafe, 4 Bakery, 4 Pizza Place",Cafe/Coffee/Thai Restaurant Venues
2,Artarmon,-33.8088,151.1851,3,Cafe,Pizza Place,Japanese Restaurant,Korean Restaurant,BBQ Joint,Thai Restaurant,Coffee Shop,Burger Joint,Asian Restaurant,Bakery,"8 Cafe, 4 Japanese Restaurant, 4 Pizza Place",Cafe/Coffee/Thai Restaurant Venues
3,Bardwell Park,-33.9316,151.1249,3,Cafe,Bakery,Pizza Place,Thai Restaurant,Chinese Restaurant,Fish & Chips Shop,Greek Restaurant,Bar,Kebab Restaurant,BBQ Joint,"6 Cafe, 3 Bakery, 2 Chinese Restaurant",Cafe/Coffee/Thai Restaurant Venues
4,Bella Vista,-33.7306,150.944,3,Cafe,Coffee Shop,Thai Restaurant,Pizza Place,Sandwich Place,Indian Restaurant,Afghan Restaurant,Italian Restaurant,Portuguese Restaurant,Chinese Restaurant,"8 Cafe, 4 Coffee Shop, 3 Thai Restaurant",Cafe/Coffee/Thai Restaurant Venues
5,Belmore,-33.9172,151.0883,3,Cafe,Bakery,Korean Restaurant,BBQ Joint,Italian Restaurant,Juice Bar,Thai Restaurant,Pizza Place,Dessert Shop,Bistro,"8 Cafe, 7 Bakery, 6 Korean Restaurant",Cafe/Coffee/Thai Restaurant Venues
6,Berala,-33.8716,151.0323,3,Cafe,Coffee Shop,Asian Restaurant,Fried Chicken Joint,Kebab Restaurant,Chinese Restaurant,Bakery,Korean Restaurant,Thai Restaurant,Middle Eastern Restaurant,"3 Cafe, 2 Asian Restaurant, 2 Coffee Shop",Cafe/Coffee/Thai Restaurant Venues
7,Blacktown,-33.7686,150.9074,3,Cafe,Fast Food Restaurant,Indian Restaurant,Sandwich Place,Frozen Yogurt Shop,Food Court,Asian Restaurant,Bubble Tea Shop,Bakery,Donut Shop,"9 Cafe, 4 Fast Food Restaurant, 3 Indian Restaurant",Cafe/Coffee/Thai Restaurant Venues
8,Bondi Junction,-33.891,151.2485,3,Cafe,Coffee Shop,Bakery,Pizza Place,Japanese Restaurant,Burger Joint,Middle Eastern Restaurant,Sushi Restaurant,Fast Food Restaurant,Mexican Restaurant,"10 Cafe, 5 Coffee Shop, 4 Bakery",Cafe/Coffee/Thai Restaurant Venues
9,Caringbah,-34.0416,151.1226,3,Cafe,Thai Restaurant,Pizza Place,Bakery,Coffee Shop,Japanese Restaurant,Brazilian Restaurant,Chinese Restaurant,Indian Restaurant,Seafood Restaurant,"12 Cafe, 5 Thai Restaurant, 3 Bakery",Cafe/Coffee/Thai Restaurant Venues
