State/Territory,Borough,Latitude,Longitude
New South Wales,Ashfield,-33.8889,151.1249
New South Wales,Auburn,-33.8606,151.0247
New South Wales,Bankstown,-33.9182,151.0350
New South Wales,Baulkham Hills,-33.7619,150.9929
New South Wales,Blacktown,-33.7668,150.9053
New South Wales,Botany Bay,-33.9930,151.1753
New South Wales,Burwood,-33.8774,151.1037
New South Wales,Camden,-34.0544,150.6958
New South Wales,Campbelltown,-34.0666,150.8196
New South Wales,Canterbury,-33.9126,151.1180
New South Wales,Concord,-33.8550,151.1078
New South Wales,Drummoyne,-33.8511,151.1545
New South Wales,Fairfield,-33.8706,150.9564
New South Wales,Gosford,-33.4267,151.3417
New South Wales,Holroyd,-33.8310,150.9970
New South Wales,Hornsby,-33.7046,151.0987
New South Wales,Hunters Hill,-33.8337,151.1437
New South Wales,Hurstville,-33.9646,151.1010
New South Wales,Kogarah,-33.9644,151.1373
New South Wales,Ku-ring-gai,-33.7416,151.1520
New South Wales,Lane Cove,-33.8148,151.1664
New South Wales,Leichhardt,-33.8837,151.1570
New South Wales,Liverpool,-33.9286,150.9180
New South Wales,Manly,-33.8060,151.2948
New South Wales,Marrickville,-33.9087,151.1524
New South Wales,Mosman,-33.8291,151.2441
New South Wales,North Sydney,-33.8396,151.2054
New South Wales,Parramatta,-33.8136,151.0034
New South Wales,Penrith,-33.7507,150.6877
New South Wales,Pittwater,-33.6335,151.2919
New South Wales,Randwick,-33.9132,151.2420
New South Wales,Rockdale,-33.9529,151.1376
New South Wales,Ryde,-33.8157,151.1030
New South Wales,Strathfield,-33.8715,151.0940
New South Wales,Sutherland Shire,-34.0641,151.0937
New South Wales,Warringah,-33.6642,151.2102
New South Wales,Waverley,-33.8997,151.2554
New South Wales,Woollahra,-33.8865,151.2422
