,State/Territory,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Top Venues,Label
0,New South Wales,Ashfield,-33.8889,151.1249,1,Dumpling Restaurant,Chinese Restaurant,Platform,Shanghai Restaurant,Cafe,Supermarket,Electronics Store,Japanese Restaurant,Asian Restaurant,Coffee Shop,"3 Chinese Restaurant, 3 Dumpling Restaurant",Multiple Restaurant/Cafe Venues and Shops
1,New South Wales,Auburn,-33.8606,151.0247,1,Playground,Garden,Tennis Court,Cafe,Wine Bar,Discount Store,Electronics Store,Dumpling Restaurant,Dry Cleaner,Donut Shop,"2 Playground, 1 Cafe",Multiple Restaurant/Cafe Venues and Shops
2,New South Wales,Bankstown,-33.9182,151.035,1,Vietnamese Restaurant,Cafe,Sports Bar,Department Store,Fast Food Restaurant,Convenience Store,Coffee Shop,Chinese Restaurant,Steakhouse,Grocery Store,"9 Vietnamese Restaurant, 5 Cafe",Multiple Restaurant/Cafe Venues and Shops
3,New South Wales,Blacktown,-33.7668,150.9053,1,Fast Food Restaurant,Juice Bar,Sandwich Place,Coffee Shop,Supermarket,Convenience Store,Park,Cafe,Portuguese Restaurant,Chinese Restaurant,"6 Fast Food Restaurant, 2 Coffee Shop",Multiple Restaurant/Cafe Venues and Shops
4,New South Wales,Burwood,-33.8774,151.1037,1,Cafe,Chinese Restaurant,Coffee Shop,Noodle House,Supermarket,Juice Bar,Department Store,Pharmacy,Fast Food Restaurant,Sandwich Place,"5 Cafe, 4 Chinese Restaurant",Multiple Restaurant/Cafe Venues and Shops
5,New South Wales,Campbelltown,-34.0666,150.8196,1,Fast Food Restaurant,Bakery,Pet Store,Pub,Playground,Gym / Fitness Center,Electronics Store,Cuban Restaurant,Cupcake Shop,Deli / Bodega,"1 Bakery, 1 Fast Food Restaurant",Multiple Restaurant/Cafe Venues and Shops
6,New South Wales,Canterbury,-33.9126,151.118,1,Supermarket,Platform,Cafe,Train Station,Fast Food Restaurant,Bakery,Camera Store,Japanese Restaurant,Pool,Korean Restaurant,"2 Cafe, 2 Platform",Multiple Restaurant/Cafe Venues and Shops
7,New South Wales,Fairfield,-33.8706,150.9564,1,Fast Food Restaurant,Asian Restaurant,Thai Restaurant,Pharmacy,Italian Restaurant,Shopping Mall,South American Restaurant,Lebanese Restaurant,Sandwich Place,Department Store,"3 Fast Food Restaurant, 2 Asian Restaurant",Multiple Restaurant/Cafe Venues and Shops
8,New South Wales,Gosford,-33.4267,151.3417,1,Pizza Place,Fast Food Restaurant,Bar,Sandwich Place,Cafe,Football Stadium,Playground,Hospital,Grocery Store,Dumpling Restaurant,"2 Pizza Place, 1 Bar",Multiple Restaurant/Cafe Venues and Shops
9,New South Wales,Hurstville,-33.9646,151.101,1,Fast Food Restaurant,Supermarket,Chinese Restaurant,Cafe,Bakery,Japanese Restaurant,Vietnamese Restaurant,Shopping Mall,Dim Sum Restaurant,Coffee Shop,"4 Fast Food Restaurant, 4 Supermarket",Multiple Restaurant/Cafe Venues and Shops
