,Station,Latitude,Longitude
0,Allawah,-33.9697,151.1145
1,Arncliffe,-33.9362,151.1473
2,Artarmon,-33.8088,151.1851
3,Ashfield,-33.8876,151.1259
4,Asquith,-33.6887,151.1081
5,Auburn,-33.8492,151.0329
6,Banksia,-33.9453,151.1404
7,Bankstown,-33.9179,151.0341
8,Bardwell Park,-33.9316,151.1249
9,Beecroft,-33.7497,151.0664
10,Bella Vista,-33.7306,150.944
11,Belmore,-33.9172,151.0883
12,Berala,-33.8716,151.0323
13,Berowra,-33.6235,151.1532
14,Beverly Hills,-33.949,151.0812
15,Bexley North,-33.9375,151.1135
16,Birrong,-33.8933,151.024
17,Blacktown,-33.7686,150.9074
18,Bondi Junction,-33.891,151.2485
19,Burwood,-33.8772,151.1043
20,Cabramatta,-33.8946,150.9391
21,Campbelltown,-34.0641,150.8141
22,Campsie,-33.9104,151.1034
23,Canley Vale,-33.8872,150.9436
24,Canterbury,-33.9119,151.1186
25,Caringbah,-34.0416,151.1226
26,Carlton,-33.9682,151.124
27,Carramar,-33.8843,150.9615
28,Castle Hill,-33.7316,151.0073
29,Casula,-33.9499,150.912
30,Central,-33.8832,151.207
31,Chatswood,-33.798,151.1809
32,Cheltenham,-37.9669,145.0547
33,Cherrybrook,-33.7367,151.032
34,Chester Hill,-33.8836,150.9999
35,Circular Quay,-33.8612,151.2107
36,Clarendon,-33.6085,150.7879
37,Clyde,-33.8358,151.0169
38,Como,-34.0044,151.0681
39,Concord West,-33.8485,151.0856
40,Cronulla,-34.0557,151.1515
41,Croydon,-33.8832,151.1151
42,Denistone,-33.7996,151.0868
43,Domestic Airport,-33.9336,151.1811
44,Doonside,-33.7637,150.8692
45,Dulwich Hill,-33.9111,151.1412
46,East Hills,-33.9618,150.9847
47,East Richmond,-37.8263,144.9973
48,Eastwood,-33.7901,151.0822
49,Edgecliff,-33.8797,151.2367
50,Edmondson Park,-33.9693,150.8587
51,Emu Plains,-33.7457,150.6714
52,Engadine,-34.0677,151.0147
53,Epping,-33.7727,151.082
54,Erskineville,-33.9001,151.1856
55,Fairfield,-33.8724,150.9568
56,Flemington,-33.865,151.0702
57,Glenfield,-33.9722,150.8931
58,Gordon,-33.7558,151.1544
59,Granville,-33.8328,151.0119
60,Green Square,-33.9062,151.2025
61,Guildford,-33.8542,150.9844
62,Gymea,-34.0349,151.0854
63,Harris Park,-33.8233,151.0076
64,Heathcote,-34.088,151.0081
65,Helensburgh,-34.1769,150.9949
66,Hills Showground,-33.7279,150.987
67,Holsworthy,-33.9632,150.9567
68,Homebush,-33.8668,151.0865
69,Hornsby,-33.7035,151.0984
70,Hurlstone Park,-33.9102,151.1325
71,Hurstville,-33.9673,151.1024
72,Ingleburn,-33.9977,150.8642
73,International Airport,-33.9353,151.1668
74,Jannali,-34.0159,151.0646
75,Kellyville,-33.7134,150.9351
76,Killara,-33.7655,151.1617
77,Kings Cross,-33.8745,151.2221
78,Kingsgrove,-33.9406,151.1005
79,Kingswood,-33.7584,150.7205
80,Kirrawee,-34.035,151.0715
81,Kogarah,-33.9627,151.1324
82,Lakemba,-33.9201,151.0759
83,Leightonfield,-33.8815,150.9847
84,Leppington,-33.9544,150.808
85,Leumeah,-34.0508,150.8306
86,Lewisham,-33.8932,151.1474
87,Lidcombe,-33.8636,151.0447
88,Lindfield,-33.7756,151.1691
89,Liverpool,-33.9243,150.9272
90,Loftus,-34.0451,151.0512
91,Macarthur,-34.072,150.7973
92,Macdonaldtown,-33.8968,151.1863
93,Macquarie Fields,-33.9847,150.8791
