,Station,Station Latitude,Station Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Allawah,-33.9697,151.1145,Allawah Cheeky Chicken,-33.96997904569923,151.11548537838962,BBQ Joint
1,Allawah,-33.9697,151.1145,New Goldlion,-33.97011359655018,151.11489948397423,Chinese Restaurant
2,Allawah,-33.9697,151.1145,Posch Thai,-33.97031,151.11523,Thai Restaurant
3,Allawah,-33.9697,151.1145,Yum Ciao,-33.97033,151.11584,Italian Restaurant
4,Allawah,-33.9697,151.1145,The Coffee House,-33.970156,151.115555,Café
5,Allawah,-33.9697,151.1145,John & Jane's Bakery,-33.96867745505437,151.1156218977921,Bakery
6,Allawah,-33.9697,151.1145,Central Lane Espresso,-33.96727758930466,151.11388128433987,Coffee Shop
7,Allawah,-33.9697,151.1145,Memory Of The Taste,-33.967504,151.110939,Chinese Restaurant
8,Allawah,-33.9697,151.1145,Posch Thai (Allawah Station),-33.97182187312014,151.1150758208974,Thai Restaurant
9,Allawah,-33.9697,151.1145,Yes Thai,-33.972577,151.113641,Thai Restaurant
10,Allawah,-33.9697,151.1145,Jafé Jaffles,-33.96687915575818,151.11069589814926,Food Truck
11,Allawah,-33.9697,151.1145,Cre 8,-33.96859790873744,151.1099507546792,Café
12,Allawah,-33.9697,151.1145,Delicious,-33.96856,151.109717,Café
13,Arncliffe,-33.9362,151.1473,Cliff Café,-33.93687,151.1464,Café
14,Arncliffe,-33.9362,151.1473,Mongol Lounge,-33.93678,151.14645,Mongolian Restaurant
15,Arncliffe,-33.9362,151.1473,Thai Fire Wok,-33.93689,151.14653,Thai Restaurant
16,Arncliffe,-33.9362,151.1473,Lucky's Gourmet Pizza,-33.93747648985583,151.14636182785034,Pizza Place
17,Arncliffe,-33.9362,151.1473,One Stop Malaysian Roti Canai,-33.936896,151.146726,Malay Restaurant
18,Arncliffe,-33.9362,151.1473,Naji's Charcoal Chicken & Kebab,-33.93673685745061,151.14676470470204,Lebanese Restaurant
19,Arncliffe,-33.9362,151.1473,Thai Kata,-33.93518607694705,151.1464328209302,Thai Restaurant
20,Arncliffe,-33.9362,151.1473,Elzein Bakery,-33.93674,151.14716,Bakery
21,Arncliffe,-33.9362,151.1473,Arncliffe Cakes,-33.937187,151.14648,Dessert Shop
22,Arncliffe,-33.9362,151.1473,Peace Bakery,-33.9344482758525,151.14641575264244,Bakery
23,Arncliffe,-33.9362,151.1473,Asian At Arncliffe,-33.934593200683594,151.14517211914062,Chinese Restaurant
24,Arncliffe,-33.9362,151.1473,Naji Thai Palace,-33.936917,151.146652,Asian Restaurant
25,Arncliffe,-33.9362,151.1473,bean 2 taste,-33.93394142000337,151.14783811631756,Café
26,Arncliffe,-33.9362,151.1473,Big Slice Pizza,-33.939347,151.145383,Pizza Place
27,Arncliffe,-33.9362,151.1473,Arncliffe Bakery and Pizza,-33.93671417236328,151.14199829101562,Bakery
28,Arncliffe,-33.9362,151.1473,Sunshine Cuppa,-33.930230349287505,151.14633958186928,Australian Restaurant
29,Arncliffe,-33.9362,151.1473,Organic Palace,-33.93023775045276,151.14637827352624,Vegetarian / Vegan Restaurant
30,Arncliffe,-33.9362,151.1473,entyce,-33.93739700317383,151.14639282226562,Café
31,Arncliffe,-33.9362,151.1473,red horn Pizza,-33.934783935546875,151.14935302734375,Pizza Place
32,Arncliffe,-33.9362,151.1473,Skylounge,-33.93557869653783,151.15235243322195,Australian Restaurant
33,Arncliffe,-33.9362,151.1473,Yan Restaurant,-33.93195,151.15087,Asian Restaurant
34,Arncliffe,-33.9362,151.1473,Burger World,-33.936436,151.142187,Burger Joint
35,Arncliffe,-33.9362,151.1473,Super Salads Plus,-33.93023674671781,151.14643851035984,Salad Place
36,Arncliffe,-33.9362,151.1473,Burgers Anytime,-33.93012704099397,151.14630196410502,Burger Joint
37,Arncliffe,-33.9362,151.1473,BBQ Anytime,-33.930223680535974,151.14631903238038,BBQ Joint
38,Arncliffe,-33.9362,151.1473,Pasta & Pizza Amore,-33.93021695059047,151.14633135164377,Italian Restaurant
39,Arncliffe,-33.9362,151.1473,Abou-Ali Bakery,-33.93585461251689,151.14344020950702,Bakery
40,Arncliffe,-33.9362,151.1473,Fusion Meriton BBQ,-33.933043,151.145433,BBQ Joint
41,Arncliffe,-33.9362,151.1473,Little Spoon,-33.937366,151.14949,Café
42,Arncliffe,-33.9362,151.1473,Espresso Haus Co,-33.934842,151.145239,Café
43,Arncliffe,-33.9362,151.1473,Let's Have Coffee!,-33.930231545407025,151.14634689925725,Café
44,Arncliffe,-33.9362,151.1473,Bon Cafe,-33.93037240809593,151.14642713150076,Café
45,Arncliffe,-33.9362,151.1473,Charcoal Palace Cafe,-33.93408382231263,151.1476276056814,Café
46,Arncliffe,-33.9362,151.1473,Kitchen of cupcakes & cookies,-33.93022687566158,151.1463312715,Cupcake Shop
47,Arncliffe,-33.9362,151.1473,Sweet Layers Cake Cafe,-33.936676,151.14224,Café
48,Arncliffe,-33.9362,151.1473,Harry's Grill,-33.939319007926905,151.14745616912842,Bistro
49,Arncliffe,-33.9362,151.1473,Inferno Pizzeria,-33.93892,151.14551,Pizza Place
50,Artarmon,-33.8088,151.1851,Salvage Specialty Coffee,-33.80895728341055,151.1835568673033,Café
51,Artarmon,-33.8088,151.1851,BRGR,-33.809135,151.184927,Burger Joint
52,Artarmon,-33.8088,151.1851,86 Hampden Road,-33.80884108429937,151.18461352658343,Café
53,Artarmon,-33.8088,151.1851,Everyday Canteen,-33.807897,151.185282,Café
54,Artarmon,-33.8088,151.1851,Artarmon Seafood,-33.808958013167874,151.18477856014462,Seafood Restaurant
55,Artarmon,-33.8088,151.1851,Spitroast,-33.80901685433397,151.18504391864485,BBQ Joint
56,Artarmon,-33.8088,151.1851,L'annam,-33.8094,151.18506,Bakery
57,Artarmon,-33.8088,151.1851,Sushi-Ya Artarmon,-33.808148266471896,151.18490431195636,Japanese Restaurant
58,Artarmon,-33.8088,151.1851,Little Thai Place,-33.80817889728216,151.18490406576072,Thai Restaurant
59,Artarmon,-33.8088,151.1851,Artarmon Sushi Bar,-33.80865,151.184197,Sushi Restaurant
60,Artarmon,-33.8088,151.1851,Doughboy,-33.80906,151.18422,Pizza Place
61,Artarmon,-33.8088,151.1851,Chooks,-33.808553,151.184042,BBQ Joint
62,Artarmon,-33.8088,151.1851,Ramen Genki,-33.80807465545813,151.1849583333398,Ramen Restaurant
63,Artarmon,-33.8088,151.1851,Bakers Delight,-33.80926379675209,151.18389863369626,Bakery
64,Artarmon,-33.8088,151.1851,The Wilkes,-33.80814373526372,151.18487489926477,Café
65,Artarmon,-33.8088,151.1851,Zucchero Caffe,-33.808632,151.184143,Café
66,Artarmon,-33.8088,151.1851,Gelatissimo,-33.808181,151.185004,Ice Cream Shop
67,Artarmon,-33.8088,151.1851,Subway,-33.8088507511992,151.18483170832116,Sandwich Place
68,Artarmon,-33.8088,151.1851,Haru Japanese Sushi Bar,-33.80897,151.18446,Japanese Restaurant
69,Artarmon,-33.8088,151.1851,Inter Desserts,-33.808409344092496,151.1840330650836,Café
70,Artarmon,-33.8088,151.1851,The Thai,-33.80798123826116,151.1834551691439,Thai Restaurant
71,Artarmon,-33.8088,151.1851,Maiya Indian Curry House,-33.80805220890941,151.18381681526668,Asian Restaurant
72,Artarmon,-33.8088,151.1851,Luna Pizza,-33.80886412617091,151.18366316426105,Pizza Place
73,Artarmon,-33.8088,151.1851,Hampden Gourmet,-33.808855847767305,151.18404444666115,Café
74,Artarmon,-33.8088,151.1851,Interdesserts,-33.80805,151.18324,Coffee Shop
75,Artarmon,-33.8088,151.1851,Burger & More,-33.809055,151.18484,Burger Joint
76,Artarmon,-33.8088,151.1851,Xquisto,-33.80768310771141,151.18375990746938,Mexican Restaurant
77,Artarmon,-33.8088,151.1851,Artarmon Gourmet Chicken And Salad,-33.80844,151.18406,Diner
78,Artarmon,-33.8088,151.1851,European Piatsa,-33.808991,151.184939,Australian Restaurant
79,Artarmon,-33.8088,151.1851,Jimmys BBQ,-33.808127,151.184838,Korean Restaurant
80,Artarmon,-33.8088,151.1851,Sanya,-33.808869840546755,151.18382819682864,Korean Restaurant
81,Artarmon,-33.8088,151.1851,Mr Kim,-33.808206,151.184945,Korean Restaurant
82,Artarmon,-33.8088,151.1851,Thai Charm,-33.808075,151.185062,Thai Restaurant
83,Artarmon,-33.8088,151.1851,Yakiniku,-33.80891995814637,151.18422086121763,Japanese Restaurant
84,Artarmon,-33.8088,151.1851,Izakaya Jubei,-33.808094,151.184919,Japanese Restaurant
85,Artarmon,-33.8088,151.1851,All Goods Mart,-33.809720990434485,151.18409695715368,Asian Restaurant
86,Artarmon,-33.8088,151.1851,Gourmet Pizza on Wilkes,-33.807892838532624,151.18500619292598,Italian Restaurant
87,Artarmon,-33.8088,151.1851,Mary's Malaysian,-33.80420061856693,151.1825989928831,Malay Restaurant
88,Artarmon,-33.8088,151.1851,Seven Day Food Artarmon,-33.80905446320683,151.18514277275236,Restaurant
89,Artarmon,-33.8088,151.1851,Cafe Sunyata,-33.808060307406144,151.18490375813377,Coffee Shop
90,Artarmon,-33.8088,151.1851,Tatsuya,-33.80890444231324,151.1842777691811,Sushi Restaurant
91,Artarmon,-33.8088,151.1851,Buonissimo Pizza,-33.808082,151.183393,Pizza Place
92,Artarmon,-33.8088,151.1851,Sam's Dining Room,-33.807869,151.180522,Italian Restaurant
93,Artarmon,-33.8088,151.1851,Wonka Barby Spot,-33.804106610725505,151.185808601098,BBQ Joint
94,Artarmon,-33.8088,151.1851,Pizzeria la Stazione,-33.805867,151.185674,Pizza Place
95,Artarmon,-33.8088,151.1851,Hampden Cafe,-33.805091,151.185515,Food Truck
96,Artarmon,-33.8088,151.1851,Cicco Bar,-33.804199558680224,151.18279816879837,Café
97,Ashfield,-33.8876,151.1259,Ashfield Cafe,-33.887839,151.12574636936188,Malay Restaurant
98,Ashfield,-33.8876,151.1259,Normcore Ashfield,-33.887814,151.12518,Coffee Shop
99,Ashfield,-33.8876,151.1259,Homebush halal meats,-33.88761562485287,151.12610580611366,BBQ Joint
100,Ashfield,-33.8876,151.1259,Ashfield Apothecary,-33.886607,151.125829,Café
101,Ashfield,-33.8876,151.1259,New Shanghai 新上海,-33.88816,151.1245,Shanghai Restaurant
102,Ashfield,-33.8876,151.1259,Gong Cha 貢茶,-33.888337925900245,151.12539472122086,Bubble Tea Shop
103,Ashfield,-33.8876,151.1259,Beijing Impressions 瓷器,-33.88809,151.12504,Beijing Restaurant
104,Ashfield,-33.8876,151.1259,The Urban Artisans,-33.88856,151.12424,Café
105,Ashfield,-33.8876,151.1259,Gloria Jean's Coffees,-33.889783,151.123985,Coffee Shop
106,Ashfield,-33.8876,151.1259,L'oven Craft Bakery,-33.888855,151.12509,Bakery
107,Ashfield,-33.8876,151.1259,Chatime,-33.888886,151.124655,Bubble Tea Shop
108,Ashfield,-33.8876,151.1259,Koku Culture Cafe,-33.88764,151.122128,Café
109,Ashfield,-33.8876,151.1259,Mokuya Japanese Restaurant,-33.888901057536145,151.123318371818,Japanese Restaurant
110,Ashfield,-33.8876,151.1259,Metro One,-33.8877,151.12343,Falafel Restaurant
111,Ashfield,-33.8876,151.1259,Silk Road Uyghur Restaurant 丝绸之路正宗维吾尔美食,-33.889959,151.12659,Xinjiang Restaurant
112,Ashfield,-33.8876,151.1259,Tasty House Chinese Restaurant,-33.8880516285527,151.1236198674194,Chinese Restaurant
113,Ashfield,-33.8876,151.1259,Sushi Moa,-33.888722,151.125043,Sushi Restaurant
114,Ashfield,-33.8876,151.1259,Royaltea,-33.88876,151.12526,Bubble Tea Shop
115,Ashfield,-33.8876,151.1259,Asian Delight,-33.88982,151.12445,Asian Restaurant
116,Ashfield,-33.8876,151.1259,Da Vatti,-33.88970184326172,151.12576293945312,Indian Restaurant
117,Ashfield,-33.8876,151.1259,Shanghai Night,-33.88843451554322,151.12426292431198,Dumpling Restaurant
118,Ashfield,-33.8876,151.1259,Ashfield Mall Food Court,-33.8897498928506,151.1243594927608,Food Court
119,Ashfield,-33.8876,151.1259,忆家乡,-33.887608,151.122694,Chinese Restaurant
120,Ashfield,-33.8876,151.1259,Harika Cafe,-33.888688872800984,151.12481447834116,Café
121,Ashfield,-33.8876,151.1259,Pho 234,-33.88911056518555,151.12527465820312,Comfort Food Restaurant
122,Ashfield,-33.8876,151.1259,The Restaurant Chinese Skewers BBQ,-33.889759,151.126541,BBQ Joint
123,Ashfield,-33.8876,151.1259,New Shanghai Night 新夜上海,-33.88846086899549,151.1243931616137,Shanghai Restaurant
124,Ashfield,-33.8876,151.1259,Caffe Cherry Beans,-33.88927607558432,151.12374289298324,Café
125,Ashfield,-33.8876,151.1259,Akira Sushi,-33.889300607063255,151.12417166275986,Sushi Restaurant
126,Ashfield,-33.8876,151.1259,Eaton Chinese Restaurant,-33.88790126699797,151.12321685239735,Chinese Restaurant
127,Ashfield,-33.8876,151.1259,KebaBBQ,-33.8896369934082,151.12460327148438,Middle Eastern Restaurant
128,Ashfield,-33.8876,151.1259,Kebebbque,-33.88973,151.124534,Restaurant
129,Ashfield,-33.8876,151.1259,Pu Tai Thai,-33.88748760967215,151.12565071141026,Thai Restaurant
130,Ashfield,-33.8876,151.1259,Taste of Shanghai,-33.888278622693186,151.12399199593892,Dumpling Restaurant
131,Ashfield,-33.8876,151.1259,Mrs Yang,-33.889151,151.12533,Cantonese Restaurant
132,Ashfield,-33.8876,151.1259,Janny's Cakes,-33.88876,151.12524,Cupcake Shop
133,Ashfield,-33.8876,151.1259,The Prawn Pot 香虾锅,-33.88849,151.12484,Asian Restaurant
134,Ashfield,-33.8876,151.1259,North Noodle Palace,-33.88752,151.12286,Chinese Restaurant
135,Ashfield,-33.8876,151.1259,맛짱,-33.887315783254635,151.1250875335461,Korean Restaurant
136,Ashfield,-33.8876,151.1259,Niu Bai Shui,-33.889158,151.12536,Chinese Restaurant
137,Ashfield,-33.8876,151.1259,老福庆,-33.889139,151.125302,Chinese Restaurant
138,Ashfield,-33.8876,151.1259,Bakers Delight,-33.889543764074986,151.12476896918665,Bakery
139,Ashfield,-33.8876,151.1259,Sky King Ashfield,-33.889851,151.126761,Chinese Restaurant
140,Ashfield,-33.8876,151.1259,Manmaruya,-33.88960326166323,151.12618329500046,Japanese Restaurant
141,Ashfield,-33.8876,151.1259,Petit Forest Cafe,-33.886729934580366,151.12107139459212,Café
142,Ashfield,-33.8876,151.1259,Little Swan,-33.88752,151.12286,Chinese Restaurant
143,Ashfield,-33.8876,151.1259,Red Ivory,-33.8897819519043,151.1267852783203,Thai Restaurant
144,Ashfield,-33.8876,151.1259,Dessert Devil,-33.88992896834533,151.12602047575604,Dessert Shop
145,Ashfield,-33.8876,151.1259,Golden Times Chinese Restaurant,-33.889798191737356,151.13042653817558,Dim Sum Restaurant
153,Auburn,-33.8492,151.0329,Little Fujian,-33.850587,151.032069,Chinese Restaurant
154,Auburn,-33.8492,151.0329,Gaziantep Sweets & Pastry,-33.84898,151.03174,Dessert Shop
155,Auburn,-33.8492,151.0329,Mina Bakery,-33.84912044360648,151.03233316748089,Bakery
156,Auburn,-33.8492,151.0329,Gloria Jean's Coffees,-33.850079,151.031616,Café
157,Auburn,-33.8492,151.0329,Foodie Paradise,-33.849594,151.032791,Chinese Restaurant
158,Auburn,-33.8492,151.0329,Tarim Uyghur Handmade Noodles,-33.84882595061709,151.03282778627448,Xinjiang Restaurant
159,Auburn,-33.8492,151.0329,Wok King Noodle Bar,-33.84982,151.03259,Noodle House
160,Auburn,-33.8492,151.0329,Oliver Brown,-33.850696009716906,151.03188789112085,Dessert Shop
161,Auburn,-33.8492,151.0329,Sunny Chinese Restaurant,-33.84937340926009,151.03214042600635,Chinese Restaurant
162,Auburn,-33.8492,151.0329,Auburn Hot Bread,-33.85001079603836,151.03323712716244,Bakery
163,Auburn,-33.8492,151.0329,Ali Baba's Restaurant,-33.8516125864755,151.03304166678348,Turkish Restaurant
164,Auburn,-33.8492,151.0329,Brothers Kebab,-33.850534264579906,151.03317458890106,Middle Eastern Restaurant
165,Auburn,-33.8492,151.0329,Kismet Cafe,-33.85138,151.0331,Australian Restaurant
166,Auburn,-33.8492,151.0329,Khaybar Authentic Afghan Cuisine,-33.85329153484796,151.03250372550684,Afghan Restaurant
167,Auburn,-33.8492,151.0329,Sibel’s Cafe,-33.852202,151.033181,Café
168,Auburn,-33.8492,151.0329,Lahori Chattkara,-33.851513,151.032946,Pakistani Restaurant
169,Auburn,-33.8492,151.0329,Gada's Big Bite,-33.85277535803589,151.03239570540188,Middle Eastern Restaurant
170,Auburn,-33.8492,151.0329,Auburn Kebab House,-33.849263983515385,151.0333443118048,Falafel Restaurant
171,Auburn,-33.8492,151.0329,Sunny Harbour Seafood Restaurant,-33.849334,151.032206,Chinese Restaurant
172,Auburn,-33.8492,151.0329,Darband Persian Restaraunt,-33.84967520951638,151.03483458804553,Persian Restaurant
173,Auburn,-33.8492,151.0329,Nando's,-33.85063575790686,151.03175611424075,Portuguese Restaurant
